"Statistic Label","Year","Hazardousness","Waste Category","Waste Management Operation","UNIT","VALUE"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Acid, alkaline or saline wastes[W012]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Acid, alkaline or saline wastes[W012]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Acid, alkaline or saline wastes[W012]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Acid, alkaline or saline wastes[W012]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","All Waste treatment[TRT]","Tonnes","21221"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","18"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","18"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","21203"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Used oils[W013]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical wastes[W02A]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Industrial effluent sludges[W032]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","All Waste treatment[TRT]","Tonnes",""
