"Statistic Label","Year","Hazardousness","Waste Category","Waste Management Operation","UNIT","VALUE"
"Waste treated","2004","Hazardous[HAZ]","Mixed ordinary wastes (subtotal, W101+W102+W103)[W10]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mixed ordinary wastes (subtotal, W101+W102+W103)[W10]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Household and similar wastes[W101]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","All Waste treatment[TRT]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mixed and undifferentiated materials[W102]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","All Waste treatment[TRT]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Sorting residues[W103]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges[W11]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Common sludges and dredging spoils (W11+W127, valid up to 2008) [W11_127]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste from construction and demolition[W121]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other mineral wastes (W122+W123+W125)[W12B]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Combustion wastes[W124]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Soils[W126]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Dredging spoils[W127]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral wastes from waste treatment and stabilised wastes[W128_13]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","All Waste treatment[TRT]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Metallic wastes (W061+W062+W063)[W06]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Animal and mixed food waste; vegetal wastes (W091+W092)[W091_092]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","All Waste treatment[TRT]","Tonnes","14840"
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","2"
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","2"
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","14838"
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Mineral waste (except non-hazardous dredging spoils, valid up to 2008)[W12_X_127NH]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Waste excluding major mineral wastes[TOT_X_MIN]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","All Waste treatment[TRT]","Tonnes","29690"
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","29690"
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other recovered wastes (valid up to 2008)[RCV_OTH]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","All Waste treatment[TRT]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other disposed wastes (valid up to 2008)[DSP_OTH]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","All Waste treatment[TRT]","Tonnes","25"
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","25"
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous[HAZ]","Other incinerated wastes (valid up to 2008)[INC_OTH]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","All Waste treatment[TRT]","Tonnes","18105116"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","6390366"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","6390366"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Disposal - incineration (D10)[DSP_I]","Tonnes","110"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Recovery - energy recovery (R1)[RCV_E]","Tonnes","162528"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","11552112"
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Total waste","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","All Waste treatment[TRT]","Tonnes","24266"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","20214"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","20214"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - incineration (D10)[DSP_I]","Tonnes","87"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","3965"
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Non-hazardous[NHAZ]","Spent solvents[W011]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
