year,sector,hazardousness,waste_thousand_tonnes
2018,Services,Non-Hazardous,3003.1
2018,Water & Waste Mgmt,Hazardous,110.9
2018,Water & Waste Mgmt,Non-Hazardous,1382.7
2020,Agriculture & Fishing,Hazardous,25.8
2020,Agriculture & Fishing,Non-Hazardous,249.6
2020,Construction,Hazardous,19.2
2020,Construction,Non-Hazardous,5259.1
2020,Electricity & Gas,Hazardous,38.0
2020,Electricity & Gas,Non-Hazardous,120.1
2020,Households,Hazardous,112.3
2020,Households,Non-Hazardous,1829.4
2020,Manufacturing,Hazardous,360.0
2020,Manufacturing,Non-Hazardous,3261.1
2020,Mining & Quarrying,Hazardous,0.8
2020,Mining & Quarrying,Non-Hazardous,1516.8
2020,Services,Hazardous,110.9
2020,Services,Non-Hazardous,1249.3
2020,Water & Waste Mgmt,Hazardous,219.5
2020,Water & Waste Mgmt,Non-Hazardous,1818.4
